SYMBOL,NAME,EXCHANGE
500240:KINETICENG,KINETIC ENGINEERING LTD.,BSE
500241:KIRLOSBROS,KIRLOSKAR BROTHERS LTD.-$,BSE
500243:KIRLOSIND,Kirloskar Industries Ltd,BSE
500245:KIRLFER,KIRLOSKAR FERROUS INDUSTRIES LTD.,BSE
500246:ENVAIREL,ENVAIR ELECTRODYNE LTD.,BSE
500247:KOTAKBANK,KOTAK MAHINDRA BANK LTD.,BSE
500248:MAVIIND,MAVI INDUSTRIES LTD.,BSE
500249:KSBPUMPS,KSB PUMPS LTD.,BSE
500250:LGBBROSLTD,L.G.BALAKRISHNAN &amp; BROS.LTD.,BSE
500251:TRENT,TRENT LTD.,BSE
500252:LAXMIMACH,LAKSHMI MACHINE WORKS LTD.,BSE
500253:LICHSGFIN,LIC HOUSING FINANCE LTD.,BSE
500254:UTTAMVALUE,UTTAM VALUE STEELS LTD.,BSE
500255:LML,LML LTD.,BSE
500256:LOKHSG,LOK HOUSING &amp; CONSTRUCTIONS LTD.-$,BSE
500257:LUPIN,LUPIN LTD.,BSE
500259:LYKALABS,LYKA LABS LTD.,BSE
500260:RAMCOCEM,The Ramco Cements Limited,BSE
500264:MAFATIND,MAFATLAL INDUSTRIES LTD.-$,BSE
500265:MAHSEAMLES,MAHARASHTRA SEAMLESS LTD.,BSE
500266:MAHSCOOTER,MAHARASHTRA SCOOTERS LTD.,BSE
500267:MAJESAUT,MAJESTIC AUTO LTD.-$,BSE
500268:MANALIPETC,MANALI PETROCHEMICAL LTD.,BSE
500271:MAX,MAX INDIA LTD.,BSE
500277:MIDINDIA,MID INDIA INDUSTRIES LTD.,BSE
500279:MIRCELECTR,MIRC ELECTRONICS LTD.,BSE
500280:CENTENKA,CENTURY ENKA LTD.,BSE
500284:LORDSCHLO,LORDS CHLORO ALKALI LTD.,BSE
500285:SPICEJET,SPICEJET LTD.,BSE
500288:MOREPENLAB,MOREPEN LABORATORIES LTD.,BSE
500290:MRF,MRF LTD.,BSE
500292:HEIDELBERG,HEIDELBERGCEMENT INDIA LTD.,BSE
500294:NCC,NCC Limited,BSE
500295:VEDL,Vedanta Limited,BSE
500296:NAHARSPING,NAHAR SPINNING MILLS LTD.,BSE
500298:NATPEROX,NATIONAL PEROXIDE LTD.,BSE
500300:GRASIM,GRASIM INDUSTRIES LTD.,BSE
500301:NEPCMICON,NEPC INDIA LTD.,BSE
500302:PEL,PIRAMAL ENTERPRISES LTD.,BSE
500303:ABIRLANUVO,ADITYA BIRLA NUVO LTD.,BSE
500304:NIITLTD,NIIT LTD.,BSE
500306:JAYKAY,JAYKAY ENTERPRISES LTD.,BSE
500307:NIRLON,NIRLON LTD.,BSE
500312:ONGC,OIL AND NATURAL GAS CORPORATION LTD.,BSE
500313:OILCOUNTUB,OIL COUNTRY TUBULAR LTD.,BSE
500314:ORIENTHOT,ORIENTAL HOTELS LTD.,BSE
500315:ORIENTBANK,ORIENTAL BANK OF COMMERCE,BSE
500317:OSWALAGRO,OSWAL AGRO MILLS LTD.,BSE
500319:INDSUCR,INDIAN SUCROSE LTD.,BSE
500322:PANCM,PANYAM CEMENTS &amp; MINERAL INDUSTRIES LTD.,BSE
500325:RELIANCE,RELIANCE INDUSTRIES LTD.,BSE
500327:PILITA,Pil Italica Lifestyle Ltd,BSE
500329:PENTAGRAPH,PENTAMEDIA GRAPHICS LTD.,BSE
500330:RAYMOND,RAYMOND LTD.,BSE
500331:PIDILITIND,PIDILITE INDUSTRIES LTD.,BSE
500333:PIXTRANS,PIX TRANSMISSIONS LTD.,BSE
500335:BIRLACORPN,BIRLA CORPORATION LTD.,BSE
500336:SURYAROSNI,SURYA ROSHNI LTD.,BSE
500337:PRIMESECU,PRIME SECURITIES LTD.,BSE
500338:PRISMCEM,PRISM CEMENT LTD.,BSE
500339:RAIN,Rain Industries Limited,BSE
500343:PDUMJEPULP,PUDUMJEE PULP &amp; PAPER MILLS LTD.,BSE
500346:PUNJCOMMU,PUNJAB COMMUNICATIONS LTD.-$,BSE
500350:RSWM,RSWM LTD.,BSE
500354:RAJSREESUG,RAJSHREE SUGARS &amp; CHEMICALS LTD.,BSE
500355:RALLIS,RALLIS INDIA LTD.,BSE
500356:RAMANEWS,SHREE RAMA NEWSPRINT LTD.,BSE
500357:RAMAPPR-B,RAMA PAPER MILLS LTD.,BSE
500358:RAMAPETRO,RAMA PETROCHEMICALS LTD.,BSE
500360:RAPICUT,RAPICUT CARBIDES LTD.,BSE
500365:RMGALLOY,RMG Alloy Steel Limited,BSE
500366:ROLTA,ROLTA INDIA LTD.,BSE
500367:RUBFILA,RUBFILA INTERNATIONAL LTD.,BSE
500368:RUCHISOYA,RUCHI SOYA INDUSTRIES LTD.,BSE
500370:SALORAINTL,SALORA INTERNATIONAL LTD.,BSE
500371:SAMTELIN,SAMTEL INDIA LTD.-$,BSE
500372:SAMTEL,SAMTEL COLOR LTD.,BSE
500378:JINDALSAW,JINDAL SAW LTD.,BSE
500380:JKLAKSHMI,JK LAKSHMI CEMENT LTD.,BSE
500387:SHREECEM,SHREE CEMENT LTD.,BSE
500388:SKPMIL,SHREE KRISHNA PAPER MILLS &amp; INDUSTRIES LTD.,BSE
500390:RELINFRA,RELIANCE INFRASTRUCTURE LTD.,BSE
500394:SOLCT,SOLID CARBIDE TOOLS LTD.,BSE
500399:STEELCO,STEELCO GUJARAT LTD.,BSE
500400:TATAPOWER,TATA POWER CO.LTD.,BSE
500402:SPMLINFRA,SPML Infra Limited,BSE
500403:SUNDRMFAST,SUNDRAM FASTENERS LTD.,BSE
500404:SUNFLAG,SUNFLAG IRON &amp; STEEL CO.LTD.,BSE
500405:SUPPETRO,SUPREME PETROCHEM LTD.,BSE
500407:SWARAJENG,SWARAJ ENGINES LTD.,BSE
500408:TATAELXSI,TATA ELXSI LTD.,BSE
500410:ACC,ACC LTD.,BSE
500411:THERMAX,THERMAX LTD.,BSE
500412:TIRUMALCHM,THIRUMALAI CHEMICALS LTD.,BSE
500413:THOMASCOOK,THOMAS COOK (INDIA) LTD.,BSE
500414:TIMEX,TIMEX GROUP INDIA LTD.-$,BSE
500418:TOKYOPLAST,TOKYO PLAST INTERNATIONAL LTD.,BSE
500420:TORNTPHARM,TORRENT PHARMACEUTICALS LTD.,BSE
500422:TRANSCHEM,TRANSCHEM LTD.-$,BSE
500425:AMBUJACEM,AMBUJA CEMENTS LTD.,BSE
500426:UTLINDS,UTL Industries Limited,BSE
500429:UNIPHOS,UNIPHOS ENTERPRISES LTD.,BSE
